Date,Open,High,Low,Close,Adj Close,Volume,7-day MA,30-day MA,7-day Volatility,30-day Volatility,RSI
2014-10-16,0.0032301000000698027,0.002727934514993764,0.0030442279119295805,0.003033934869841451,382.556,6.005045669930722e-05,0.002710750093528863,0.002534774825537278,0.003157232840603962,0.0032358904899053957,0.5010918778425477
2014-10-17,0.0030555193610645602,0.002533571445159875,0.0030792525554684614,0.0030517716221723024,383.757996,2.1900175548031343e-05,0.002759303651323641,0.0024955762396599523,0.0025368910614381075,0.0028837839710605783,0.5639756595226828
2014-10-18,0.0030736275638297756,0.0026747247007617957,0.0031333526930519603,0.0031657964829395133,391.441986,1.5677565030209543e-05,0.002823053702728176,0.002477996115299631,0.0014764045286570836,0.0027629271985571795,0.7444314359941253
2014-10-19,0.003181653072089351,0.0026569493663361953,0.0032464161356117356,0.003137661271946893,389.54599,0.0,0.0028471095164034994,0.002475199109173817,0.0011483440005672732,0.002754369894920559,0.7884956156267329
2014-10-20,0.003151625985819703,0.0026007362081985515,0.0031224934874903437,0.0030382234359101973,382.845001,2.9930389029590558e-05,0.0028305523825116813,0.002461315841086291,0.0012891468603846356,0.0026959257494474247,0.7209946674281077
2014-10-21,0.0030505467042332896,0.0026380949086583835,0.0031614903075184667,0.0030920900878331275,386.475006,2.357614033881058e-05,0.0027990634460280956,0.0024547383439424155,0.000802790031994872,0.0026724222462830593,0.7147131786184266
2014-10-22,0.0031054207624473863,0.0025787462357437837,0.0031828611909572226,0.003042867966570266,383.15799,1.6317235372831e-05,0.002773655672042607,0.0024446190325710247,0.0005482521077199558,0.0026344445342008447,0.6393520119063058
2014-10-23,0.0030585768840669324,0.0025273013051054305,0.0027931649714905216,0.0026757294288845294,358.416992,5.8531488950302785e-05,0.002720851763009486,0.002403397026399665,0.0022005279442047386,0.0024017431185284245,0.4449893280624392
2014-10-24,0.002696843521622434,0.002225410975826645,0.00274571033048352,0.002674661134450064,358.345001,2.755605808746825e-05,0.002665261016437003,0.0023688420210354407,0.0029012756006613857,0.0022337578194012884,0.46068280299225495
2014-10-25,0.002697140213891599,0.0021600253429549772,0.0025882130946884773,0.0025103308999936957,347.270996,3.479843704905049e-05,0.002568637288657352,0.00233458375244854,0.0035403454186763187,0.0021598630854185175,0.40907677427593353
